idpm,latitud,longitud,nombre_via,ih,temperatura,velocidad_viento,precipitacion,humedad,PM25,CO,NO,NO2
5503,39.435883872172411,-0.395100851198767,"Carretera d'Alba, 25",24,14.0,4,0.0,68,7.8003,0.2114,8.459800000000005,26.3831
5504,39.435795332942973,-0.39468641255489,"Carretera d'Alba, 25",55,14.0,4,0.0,68,7.9057,0.2145,9.978800000000003,27.7998
833,39.472995211449394,-0.394000549455723,"Carrer del Mestre Guerrero, 5",86,14.0,4,0.0,68,8.0111,0.21760000000000002,11.497800000000003,29.2165
834,39.476281321768759,-0.393283590979888,"Passeig de la Petxina, 40",665,14.0,4,0.0,68,9.9797,0.2755,39.86880000000001,55.6768
901,39.468304630441352,-0.39520070144895,"Carrer de Totana, 20",1589,14.0,4,0.0,68,13.1213,0.3679,85.1448,97.90360000000001
902,39.46879077296348,-0.399975957275591,"Avinguda del Cid, 76",72,14.0,4,0.0,68,7.9635,0.2162,10.811800000000003,28.576700000000002
1222,39.48798465053293,-0.376873242918022,"Avinguda de la ConstituciÃ³, 86",473,14.0,4,0.0,68,9.3269,0.25630000000000003,30.460800000000003,46.9024
1301,39.485875136827737,-0.367113412487018,"Carrer de Genaro Lahuerta Pintor, 18-20",53,14.0,4,0.0,68,7.8989,0.2143,9.880800000000004,27.7084
1302,39.486386031683438,-0.367942059518973,"Carrer de Cofrentes, 10",72,14.0,4,0.0,68,7.9635,0.2162,10.811800000000003,28.576700000000002
1303,39.486174775165402,-0.363056687475859,"Carrer de Dolores MarquÃ©s, 6-8",599,14.0,4,0.0,68,9.7553,0.26890000000000003,36.634800000000006,52.6606
1304,39.483168217775102,-0.370012249516435,"Carrer dÂ´Alboraia, 44",309,14.0,4,0.0,68,8.7693,0.2399,22.424800000000005,39.4076
1305,39.486853464515129,-0.366764085567643,"Avinguda del Primat Reig, 81-85",481,14.0,4,0.0,68,9.3541,0.2571,30.852800000000006,47.268
1539,39.467427107474016,-0.357766416866075,"Avinguda del Port, 32",656,14.0,4,0.0,68,9.9491,0.2746,39.427800000000005,55.2655
1540,39.466504085225495,-0.356936788971475,"Carrer de les Illes CanÃ ries, 24",247,14.0,4,0.0,68,8.5585,0.23370000000000002,19.3868,36.5742
1608,39.465347626126629,-0.343025541111534,"Carrer de la IndÃºstria, 23",104,14.0,4,0.0,68,8.0723,0.2194,12.379800000000003,30.0391
1707,39.484800303270504,-0.395023473077699,"Avinguda de Pius XII, 54-56",292,14.0,4,0.0,68,8.7115,0.2382,21.591800000000003,38.6307
1712,39.483965216695943,-0.400175725609162,"Avinguda del General AvilÃ©s, 59",930,14.0,4,0.0,68,10.8807,0.302,52.85380000000001,67.7873
1717,39.479801729544597,-0.407226796952491,"Avinguda PÃ­o Baroja, 82",744,14.0,4,0.0,68,10.2483,0.2834,43.7398,59.287099999999995
1718,39.482620825133452,-0.40645894235251,"Avinguda de PÃ­o Baroja, 506",296,14.0,4,0.0,68,8.7251,0.2386,21.787800000000004,38.8135
1719,39.48280280732115,-0.406514014911951,"Avinguda de PÃ­o Baroja, 506",376,14.0,4,0.0,68,8.9971,0.2466,25.707800000000002,42.4695
1801,39.470824431815593,-0.343036453117505,"Carrer del MÃºsic GinÃ©s, 33-35",118,14.0,4,0.0,68,8.1199,0.2208,13.065800000000003,30.6789
2517,39.471641783701109,-0.383960591167869,"Carrer de Guillem de Castro, 44",728,14.0,4,0.0,68,10.193900000000001,0.2818,42.95580000000001,58.555899999999994
