id punto de medida,angulo,ptos_gps,nombre_via,tipo
910,281,"39.4723944043,-0.4055862478","Carrer del Nou d'Octubre, 4-65",0
912,359,"39.4726164883,-0.406622643066","Passeig de la Petxina, 85-95",0
914,16,"39.4744702824,-0.397958721652","Passeig de la Petxina, 50-51",0
915,101,"39.4734356507,-0.405504573194","Pont del Nou d'Octubre, 72",0
919,169,"39.4693862357,-0.402924215409","Avinguda del Cid, 104",0
921,349,"39.4685096554,-0.399066219509","Avinguda del Cid, 70",0
922,195,"39.4729402798,-0.406924843199","Passeig de la Petxina, 79",0
923,349,"39.4679078575,-0.395076632506","Avinguda del Cid, 34",0
924,197,"39.4686559795,-0.393448692703","Carrer de Linares, 13",0
925,16,"39.4745290719,-0.397977941787","Passeig de la Petxina, 50-51",0
928,169,"39.4688936799,-0.399945716758","Avinguda del Cid, 76",0
929,198,"39.4737400358,-0.399050486069","Carrer de Castan TobeÃ±as, 34-36",0
930,4,"39.4696866097,-0.409056606048","Avinguda del Cid, 136",0
4505,331,"39.4507481405,-0.340729606286","Carrer de Les Barraques del Figuero, 136",0
4506,89,"39.4515873589,-0.34106614838","CamÃ¬ de les Moreres, 136",0
4507,166,"39.4497033207,-0.336159913719","Carrer de Les Barraques del Figuero, 136",0
4508,264,"39.451112877,-0.335285117021","Carrer Josep Soler Carnicer, 25",0
4509,84,"39.4502543581,-0.335310579805","Camino Canal, 3D",0
4510,332,"39.4507999221,-0.340952821421","Carrer dels Llauradors, 13",0
1110,357,"39.4827763264,-0.377946297722","Carrer del Pla de la SaÃ¯dia, 3",0
1111,327,"39.4823206175,-0.376513426538","Carrer del Guadalaviar, 8-10",0
1112,66,"39.4811687584,-0.373175470242","Carrer de Santa AmÃ lia, 2",0
1114,65,"39.4817923935,-0.372828088682","Carrer d'Almassora, 2",0
1115,347,"39.4824458616,-0.372255089675","Carrer del Pintor Vilar, 2",0
1116,167,"39.4824496913,-0.372036038098","Carrer del Pintor Vilar, 1",0
1145,344,"39.4866808121,-0.369181424868","Carrer de Cofrentes, 6",0
1146,120,"39.4860176311,-0.371059763456","Carrer de Fra Pere Vives, 190",0
1149,257,"39.4872154599,-0.372589438303","Carrer de Bilbao, 22",0
1150,107,"39.486764964,-0.374958542766","Carrer de Sagunt, 103-105",0
1101,357,"39.4828997879,-0.38007135348","Carrer del Pla de la SaÃ¯dia, 16",0
1102,177,"39.4829560441,-0.379419977244","Carrer del Pla de la SaÃ¯dia, 13",0
1104,177,"39.4828438636,-0.377561384469","Carrer del Pla de la SaÃ¯dia, 4",0
1105,265,"39.4848289241,-0.37869579705","Avinguda de la ConstituciÃ³, 21-23",0
1106,356,"39.482843272,-0.37684587848","Carrer del Poeta Monmeneu, 13",0
1107,147,"39.4819039358,-0.375507745236","Carrer del Guadalaviar, 2",0
1108,93,"39.4821599349,-0.374953617302","Carrer de Sagunt, 6",0
1129,189,"39.4867674684,-0.372995705041","Carrer de Fra Pere Vives, 13-25",0
1130,189,"39.4865645754,-0.375217474631","Carrer de l'Actor Mora, 4",0
1131,189,"39.4864250216,-0.376494448727","Carrer de l'Actor Mora, 16",0
1134,7,"39.4861954658,-0.377850498085","Carrer de l'Actor Mora, 31",0
1136,9,"39.4863823348,-0.375903040332","Carrer de l'Actor Mora, 11",0
1138,9,"39.4864987658,-0.374578629458","Carrer de Fra Pere Vives, 4-8",0
1141,0,"39.4866831095,-0.372581688143","Carrer de Fra Pere Vives, 20",0
1142,73,"39.485542398,-0.372005120443","Carrer del Ministre Luis Mayans, 15",0
1144,311,"39.4862082943,-0.371350520806","Carrer de Fra Pere Vives, 32-34",0
1151,67,"39.48671212,-0.376094966637","Carrer de la Pobla del Duc, 2-4",0
1423,71,"39.4795279803,-0.361191738752","Carrer del Doctor GÃ³mez Ferrer, 3",0
1424,251,"39.4749904543,-0.356629056003","Avinguda d'AragÃ³, 35",0
1425,71,"39.4732845799,-0.356815523902","Avinguda d'AragÃ³, 36",0
1427,71,"39.4788128622,-0.357247296576","Calle Gasco Oliag, 25",0
1428,71,"39.475681614,-0.358707401262","Carrer de les Arts GrÃ fiques, 27",0
1429,251,"39.4765697742,-0.358425002837","Avinguda de SuÃ¨cia, 29",0
1430,341,"39.4759353069,-0.359772866617","Carrer de les Arts GrÃ fiques, 34",0
1432,304,"39.4745534371,-0.365644337429","Paseo de la Alameda, 4",0
1433,236,"39.4798261918,-0.354131973365","Carrer de la GuÃ rdia Civil, 30",0
1434,71,"39.4781210373,-0.366899550349","Carrer del General Elio, 2",0
1435,34,"39.4734765667,-0.365192659486","Pont de l'ExposiciÃ³, 7083",0
1436,341,"39.4758386609,-0.354514085306","Carrer de BÃ¨lgica, 32",0
1442,71,"39.4797170438,-0.366399593152","Carrer de Cavanilles, 1",0
1443,332,"39.4767816693,-0.356036776687","Avinguda de Blasco IbÃ¡Ã±ez, 6118",0
1501,304,"39.4706099265,-0.36242221598","Paseo de la Alameda, 27",0
1502,124,"39.4698973287,-0.36123632533","Passeig de l'Albereda, 29",0
1503,124,"39.4698978517,-0.361642250822","Paseo de la Alameda, 29",0
1504,183,"39.4689539903,-0.361979834247","Pont d'AragÃ³, 29",0
